# This file was produced by: bcftools roh(1.20+htslib-1.20)
RG	BRR_39	chr11Ref	2906355	6097583	3191229	31	10.7
RG	BRR_39	chr11Ref	25657923	27696012	2038090	36	11.7
RG	BRR_48	chr11Ref	432367	2039021	1606655	22	23.0
RG	A125	chr12Ref	9727383	13414078	3686696	35	6.2
RG	A139	chr12Ref	7029461	8083277	1053817	14	11.6
RG	A106	chr12Ref	27300500	28111050	810551	16	8.4
RG	A155	chr12Ref	16283233	21454752	5171520	28	11.7
RG	A169	chr12Ref	21517630	25831354	4313725	35	10.3
RG	A156	chr12Ref	7029461	9669723	2640263	32	8.7
RG	KR_29/03/2022_43	chr12Ref	168303	2667672	2499370	41	11.3
RG	HaR_06/05/2022_35	chr12Ref	3680471	4678061	997591	25	10.1
RG	At_69_N	chr12Ref	17865008	24795162	6930155	44	14.7
RG	At_63_N	chr12Ref	26339785	28111050	1771266	37	7.6
RG	At_46_J20	chr12Ref	15089815	21454752	6364938	31	9.9
RG	At_D27_3.20	chr12Ref	26572322	28111050	1538729	32	4.4
RG	At_S3_3.20	chr12Ref	15089815	21454752	6364938	31	6.8
RG	At_S11_3.20	chr12Ref	17865008	18847149	982142	8	14.2
RG	At_35_N	chr12Ref	1953767	4678061	2724295	55	10.5
RG	At_D29_3.20	chr12Ref	21517630	28111050	6593421	78	16.3
RG	At_62_F20	chr12Ref	25831354	28111050	2279697	44	13.0
RG	At_D30_3.20	chr12Ref	26911758	28111050	1199293	21	12.0
RG	At_67_F20	chr12Ref	7212966	9329633	2116668	27	10.0
RG	At_55_F20	chr12Ref	17865008	24795162	6930155	46	9.6
RG	At_S16_3.20	chr12Ref	5327838	8083277	2755440	41	13.5
RG	At_17_J20	chr12Ref	9727383	17798492	8071110	71	17.1
RG	JB_3	chr12Ref	25831354	28111050	2279697	43	6.5
RG	BRR_10	chr12Ref	8135281	13414078	5278798	55	7.2
RG	A1	chr13Ref	11701670	15385043	3683374	35	17.5
RG	A1	chr13Ref	25892462	27348752	1456291	21	10.4
RG	B2	chr13Ref	27076246	27348752	272507	5	6.5
RG	A161	chr13Ref	27076246	27348752	272507	5	7.4
RG	A117	chr13Ref	10501355	14264651	3763297	48	15.1
RG	A117	chr13Ref	25666994	27348752	1681759	32	13.0
RG	A130	chr13Ref	25666994	27348752	1681759	32	7.8
RG	A92	chr13Ref	26444172	27348752	904581	12	10.5
RG	A167	chr13Ref	26597322	27348752	751431	10	7.9
RG	A145	chr13Ref	27076246	27348752	272507	5	6.1
RG	A111	chr13Ref	26132993	27348752	1215760	20	6.0
RG	A135	chr13Ref	26332416	27348752	1016337	17	4.7
RG	HaR_06/05/2022_40	chr13Ref	26332416	27348752	1016337	17	4.2
RG	HaR_06/05/2022_33	chr13Ref	21822210	24942574	3120365	32	12.7
RG	HaR_06/05/2022_35	chr13Ref	187624	2423893	2236270	42	8.1
RG	HaR_06/05/2022_35	chr13Ref	20573354	25588673	5015320	54	11.0
RG	HaR_06/05/2022_44	chr13Ref	25666994	27348752	1681759	31	13.9
RG	HaR_06/05/2022_36	chr13Ref	10501355	16676241	6174887	64	12.6
RG	HaR_06/05/2022_36	chr13Ref	26649787	27348752	698966	8	8.7
RG	HaR_06/05/2022_37	chr13Ref	11914986	18753904	6838919	68	8.4
RG	At_52_J20	chr13Ref	1821147	3921786	2100640	34	13.5
RG	At_32_N	chr13Ref	11701670	12550283	848614	18	14.5
RG	At_O50	chr13Ref	26444172	27348752	904581	11	8.8
RG	At_58_J20	chr13Ref	208691	3921786	3713096	57	9.2
RG	At_170_N	chr13Ref	27076246	27348752	272507	5	13.6
RG	At_62_A	chr13Ref	14265839	18753904	4488066	37	12.1
RG	At_30_J20	chr13Ref	24954145	27348752	2394608	35	5.6
RG	At_O76	chr13Ref	26444172	27348752	904581	10	6.0
RG	At_44_J20	chr13Ref	27076246	27348752	272507	5	7.8
