10	so	23
20	so	23
30	so	23
40	so	23
50	so	23
10	adj	24
20	adj	24
30	adj	24
40	adj	24
50	adj	24
100	adj	24
150	adj	24
200	adj	24
250	adj	24
10	no	24
20	no	24
30	no	24
40	no	24
50	no	24
10	so	24
20	so	24
30	so	24
40	so	24
50	so	24
10	adj	25
20	adj	25
30	adj	25
40	adj	25
50	adj	25
100	adj	25
150	adj	25
200	adj	25
250	adj	25
10	no	25
20	no	25
30	no	25
40	no	25
50	no	25
10	so	25
20	so	25
30	so	25
40	so	25
50	so	25
10	adj	26
20	adj	26
30	adj	26
40	adj	26
50	adj	26
100	adj	26
150	adj	26
200	adj	26
250	adj	26
10	no	26
20	no	26
30	no	26
40	no	26
50	no	26
10	so	26
20	so	26
30	so	26
40	so	26
50	so	26
10	adj	27
20	adj	27
30	adj	27
40	adj	27
50	adj	27
100	adj	27
150	adj	27
200	adj	27
250	adj	27
10	no	27
20	no	27
30	no	27
40	no	27
50	no	27
10	so	27
20	so	27
30	so	27
40	so	27
50	so	27
10	adj	28
20	adj	28
30	adj	28
40	adj	28
50	adj	28
100	adj	28
150	adj	28
200	adj	28
250	adj	28
10	no	28
20	no	28
30	no	28
40	no	28
50	no	28
10	so	28
20	so	28
30	so	28
40	so	28
50	so	28
10	adj	29
20	adj	29
30	adj	29
40	adj	29
50	adj	29
100	adj	29
150	adj	29
200	adj	29
250	adj	29
10	no	29
20	no	29
30	no	29
40	no	29
50	no	29
10	so	29
20	so	29
30	so	29
40	so	29
50	so	29
10	adj	30
20	adj	30
30	adj	30
40	adj	30
50	adj	30
100	adj	30
150	adj	30
200	adj	30
250	adj	30
10	no	30
20	no	30
30	no	30
40	no	30
50	no	30
10	so	30
20	so	30
30	so	30
40	so	30
50	so	30
10	adj	31
20	adj	31
30	adj	31
40	adj	31
50	adj	31
100	adj	31
150	adj	31
200	adj	31
250	adj	31
10	no	31
20	no	31
30	no	31
40	no	31
50	no	31
10	so	31
20	so	31
30	so	31
40	so	31
50	so	31
10	adj	32
20	adj	32
30	adj	32
40	adj	32
50	adj	32
100	adj	32
150	adj	32
200	adj	32
250	adj	32
10	no	32
20	no	32
30	no	32
40	no	32
50	no	32
10	so	32
20	so	32
30	so	32
40	so	32
50	so	32
10	adj	33
20	adj	33
30	adj	33
40	adj	33
50	adj	33
100	adj	33
150	adj	33
200	adj	33
250	adj	33
10	no	33
20	no	33
30	no	33
40	no	33
50	no	33
10	so	33
20	so	33
30	so	33
40	so	33
50	so	33
10	adj	34
20	adj	34
30	adj	34
40	adj	34
50	adj	34
100	adj	34
150	adj	34
200	adj	34
250	adj	34
10	no	34
20	no	34
30	no	34
40	no	34
50	no	34
10	so	34
20	so	34
30	so	34
40	so	34
50	so	34
10	adj	35
20	adj	35
30	adj	35
40	adj	35
50	adj	35
100	adj	35
150	adj	35
200	adj	35
250	adj	35
10	no	35
20	no	35
30	no	35
40	no	35
50	no	35
10	so	35
20	so	35
30	so	35
40	so	35
50	so	35
10	adj	36
20	adj	36
30	adj	36
40	adj	36
50	adj	36
100	adj	36
150	adj	36
200	adj	36
250	adj	36
10	no	36
20	no	36
30	no	36
40	no	36
50	no	36
10	so	36
20	so	36
30	so	36
40	so	36
50	so	36
10	adj	37
20	adj	37
30	adj	37
40	adj	37
50	adj	37
100	adj	37
150	adj	37
200	adj	37
250	adj	37
10	no	37
20	no	37
30	no	37
40	no	37
50	no	37
10	so	37
20	so	37
30	so	37
40	so	37
50	so	37
10	adj	38
20	adj	38
30	adj	38
40	adj	38
50	adj	38
100	adj	38
150	adj	38
200	adj	38
250	adj	38
10	no	38
20	no	38
30	no	38
40	no	38
50	no	38
10	so	38
20	so	38
30	so	38
40	so	38
50	so	38
10	adj	39
20	adj	39
30	adj	39
40	adj	39
50	adj	39
100	adj	39
150	adj	39
200	adj	39
250	adj	39
10	no	39
20	no	39
30	no	39
40	no	39
50	no	39
10	so	39
20	so	39
30	so	39
40	so	39
50	so	39
10	adj	40
20	adj	40
30	adj	40
40	adj	40
50	adj	40
100	adj	40
150	adj	40
200	adj	40
250	adj	40
10	no	40
20	no	40
30	no	40
40	no	40
50	no	40
10	so	40
20	so	40
30	so	40
40	so	40
50	so	40
10	adj	41
20	adj	41
30	adj	41
40	adj	41
50	adj	41
100	adj	41
150	adj	41
200	adj	41
250	adj	41
10	no	41
20	no	41
30	no	41
40	no	41
50	no	41
10	so	41
20	so	41
30	so	41
40	so	41
50	so	41
10	adj	42
20	adj	42
30	adj	42
40	adj	42
50	adj	42
100	adj	42
150	adj	42
200	adj	42
250	adj	42
10	no	42
20	no	42
30	no	42
40	no	42
50	no	42
10	so	42
20	so	42
30	so	42
40	so	42
50	so	42
10	adj	43
20	adj	43
30	adj	43
40	adj	43
50	adj	43
100	adj	43
150	adj	43
200	adj	43
250	adj	43
10	no	43
20	no	43
30	no	43
40	no	43
50	no	43
10	so	43
20	so	43
30	so	43
40	so	43
50	so	43
10	adj	44
20	adj	44
30	adj	44
40	adj	44
50	adj	44
100	adj	44
150	adj	44
200	adj	44
250	adj	44
10	no	44
20	no	44
30	no	44
40	no	44
50	no	44
10	so	44
20	so	44
30	so	44
40	so	44
50	so	44
10	adj	45
20	adj	45
30	adj	45
40	adj	45
50	adj	45
100	adj	45
150	adj	45
200	adj	45
250	adj	45
10	no	45
20	no	45
30	no	45
40	no	45
50	no	45
10	so	45
20	so	45
30	so	45
40	so	45
50	so	45
10	adj	46
20	adj	46
30	adj	46
40	adj	46
50	adj	46
100	adj	46
150	adj	46
200	adj	46
250	adj	46
10	no	46
20	no	46
30	no	46
40	no	46
50	no	46
10	so	46
20	so	46
30	so	46
40	so	46
50	so	46
10	adj	47
20	adj	47
30	adj	47
40	adj	47
50	adj	47
100	adj	47
150	adj	47
200	adj	47
250	adj	47
10	no	47
20	no	47
30	no	47
40	no	47
50	no	47
10	so	47
20	so	47
30	so	47
40	so	47
50	so	47
10	adj	48
20	adj	48
30	adj	48
40	adj	48
50	adj	48
100	adj	48
150	adj	48
200	adj	48
250	adj	48
10	no	48
20	no	48
30	no	48
40	no	48
50	no	48
10	so	48
20	so	48
30	so	48
40	so	48
50	so	48
10	adj	49
20	adj	49
30	adj	49
40	adj	49
50	adj	49
100	adj	49
150	adj	49
200	adj	49
250	adj	49
10	no	49
20	no	49
